Export commodity(Tons),commodity_name,Billionaires per Million people,Billionaire_Name,RichestNetworld(Bn),CrimeIndex,SafetyIndex,Spend on Education %,education.spend per student,Gini coefficient(World_bank)%,Gini coefficient(CIA)%,Area(km),Density,Population_Change%,Global_pop%,Population.Rank,GlobalPeaceIndex(GPI)2024(1-5),Safety_index,GDP.Rank,GDP(IMF'24),GDP(UN'22),GDP PER CAPITAL,Population,Country,Year
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2022
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2022
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2022
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2022
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2022
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
108.1K,Food preparations n.e.c.,4.591,Gianluigi Aponte,$33.10,25.3,74.7,0.049,,33.70%,33.70%,41.3K,227,0.0051,0.11%,101,1.35,89,20,$938.46 Bn,$818.43 Bn,"$104,652",8967410,Switzerland,2020
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2022
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
236.6K,Cocoa beans,,,,63.5,36.5,0.026,,42.20%,42.20%,475.4K,63,0.0259,0.37%,51,2.773,36,92,$53.20 Bn,$44.34 Bn,"$1,781",29879300,Cameroon,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
340.7K,"Meat of cattle boneless, fresh or chilled",2.083,Shapoor Mistry,$9.90,46.5,53.5,0.03,"$9,800",30.10%,30.10%,70.3K,77,0.0101,0.07%,125,1.124,83,26,$564.02 Bn,$532.42 Bn,"$106,258",5308040,Ireland,2021
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2023
6.9M,Bananas,,,,62.1,37.9,0.039,,44.60%,45.50%,276.8K,74,0.0085,0.23%,72,2.572,55,63,$121.59 Bn,$115.05 Bn,"$6,648",18289900,Ecuador,2022
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2023
343.1K,Food preparations n.e.c.,6.591,Li Xiting,$15.10,23.5,76.5,0.022,,,45.90%,710,8177,0.0066,0.07%,115,1.339,90,32,$525.23 Bn,$466.79 Bn,"$89,465",5870750,Singapore,2017
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2016
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2016
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2016
249.9K,Refined sugar,0.702,Jay Y. Lee,$11.50,24.9,75.1,0.049,"$15,900",32.90%,31.40%,100.2K,529,0.001,0.65%,29,1.848,82,14,$1.76 Tn,$1.67 Tn,"$34,083",51667000,South Korea,2021
